areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2020-11-22,475
K02000001,United Kingdom,overview,2020-11-21,466
K02000001,United Kingdom,overview,2020-11-20,454
K02000001,United Kingdom,overview,2020-11-19,461
K02000001,United Kingdom,overview,2020-11-18,487
K02000001,United Kingdom,overview,2020-11-17,439
K02000001,United Kingdom,overview,2020-11-16,424
K02000001,United Kingdom,overview,2020-11-15,454
K02000001,United Kingdom,overview,2020-11-14,431
K02000001,United Kingdom,overview,2020-11-13,436
K02000001,United Kingdom,overview,2020-11-12,421
K02000001,United Kingdom,overview,2020-11-11,391
K02000001,United Kingdom,overview,2020-11-10,391
K02000001,United Kingdom,overview,2020-11-09,482
K02000001,United Kingdom,overview,2020-11-08,416
K02000001,United Kingdom,overview,2020-11-07,392
K02000001,United Kingdom,overview,2020-11-06,401
K02000001,United Kingdom,overview,2020-11-05,380
K02000001,United Kingdom,overview,2020-11-04,329
K02000001,United Kingdom,overview,2020-11-03,361
K02000001,United Kingdom,overview,2020-11-02,337
K02000001,United Kingdom,overview,2020-11-01,359
K02000001,United Kingdom,overview,2020-10-31,319
K02000001,United Kingdom,overview,2020-10-30,339
K02000001,United Kingdom,overview,2020-10-29,313
K02000001,United Kingdom,overview,2020-10-28,287
K02000001,United Kingdom,overview,2020-10-27,266
K02000001,United Kingdom,overview,2020-10-26,278
K02000001,United Kingdom,overview,2020-10-25,251
K02000001,United Kingdom,overview,2020-10-24,214
K02000001,United Kingdom,overview,2020-10-23,223
K02000001,United Kingdom,overview,2020-10-22,236
K02000001,United Kingdom,overview,2020-10-21,221
K02000001,United Kingdom,overview,2020-10-20,197
K02000001,United Kingdom,overview,2020-10-19,192
K02000001,United Kingdom,overview,2020-10-18,160
K02000001,United Kingdom,overview,2020-10-17,178
K02000001,United Kingdom,overview,2020-10-16,150
K02000001,United Kingdom,overview,2020-10-15,151
K02000001,United Kingdom,overview,2020-10-14,116
K02000001,United Kingdom,overview,2020-10-13,111
K02000001,United Kingdom,overview,2020-10-12,113
K02000001,United Kingdom,overview,2020-10-11,124
K02000001,United Kingdom,overview,2020-10-10,104
